"county","tract","zcta","CountyName","ZIPName","hus20","afact"
"County code","Tract","ZIP census tabulation area","County name","ZIP Code name","Total housing units (2020 Census)","tract-to-zcta allocation factor"
"09003","4101.01","06013","Hartford CT","Burlington, CT",2008,1 
"09003","4101.02","06013","Hartford CT","Burlington, CT",1620,1 
"09003","4153.00","06051","Hartford CT","New Britain, CT",1039,1 
"09003","4154.00","06051","Hartford CT","New Britain, CT",2505,1 
"09003","4155.00","06051","Hartford CT","New Britain, CT",1280,1 
"09003","4156.00","06051","Hartford CT","New Britain, CT",1864,1 
"09003","4157.00","06051","Hartford CT","New Britain, CT",373,0.2576 
"09003","4157.00","06052","Hartford CT","New Britain, CT",1075,0.7424 
"09003","4158.00","06051","Hartford CT","New Britain, CT",155,0.1183 
"09003","4158.00","06052","Hartford CT","New Britain, CT",1155,0.8817 
"09003","4159.00","06051","Hartford CT","New Britain, CT",205,0.2585 
"09003","4159.00","06053","Hartford CT","New Britain, CT",588,0.7415 
"09003","4160.00","06051","Hartford CT","New Britain, CT",400,0.1915 
"09003","4160.00","06053","Hartford CT","New Britain, CT",1689,0.8085 
"09003","4161.00","06051","Hartford CT","New Britain, CT",1753,0.8416 
"09003","4161.00","06053","Hartford CT","New Britain, CT",330,0.1584 
"09003","4162.00","06051","Hartford CT","New Britain, CT",1175,0.8429 
"09003","4162.00","06053","Hartford CT","New Britain, CT",219,0.1571 
"09003","4163.00","06051","Hartford CT","New Britain, CT",1702,1 
"09003","4164.00","06052","Hartford CT","New Britain, CT",1368,1 
"09003","4165.00","06053","Hartford CT","New Britain, CT",1857,1 
"09003","4166.00","06053","Hartford CT","New Britain, CT",1311,1 
"09003","4167.00","06053","Hartford CT","New Britain, CT",2761,1 
"09003","4168.00","06051","Hartford CT","New Britain, CT",30,0.0223 
"09003","4168.00","06053","Hartford CT","New Britain, CT",1317,0.9777 
"09003","4171.00","06051","Hartford CT","New Britain, CT",1033,1 
"09003","4172.00","06053","Hartford CT","New Britain, CT",814,1 
"09003","4173.00","06053","Hartford CT","New Britain, CT",35,1 
"09003","4174.00","06053","Hartford CT","New Britain, CT",1532,1 
"09003","4175.00","06053","Hartford CT","New Britain, CT",1945,1 
"09003","4204.00","06062","Hartford CT","Plainville, CT",1229,1 
"09003","4205.00","06062","Hartford CT","Plainville, CT",2620,1 
"09003","4206.01","06062","Hartford CT","Plainville, CT",1289,1 
"09003","4206.02","06062","Hartford CT","Plainville, CT",1495,1 
"09003","4207.00","06053","Hartford CT","New Britain, CT",1,0.0007 
"09003","4207.00","06062","Hartford CT","Plainville, CT",1411,0.9993 
"09003","4301.00","06479","Hartford CT","Plantsville, CT",126,0.0658 
"09003","4301.00","06489","Hartford CT","Southington, CT",1790,0.9342 
"09003","4302.01","06489","Hartford CT","Southington, CT",1439,1 
"09003","4302.02","06489","Hartford CT","Southington, CT",1728,1 
"09003","4302.03","06489","Hartford CT","Southington, CT",1929,1 
"09003","4303.01","06451","Hartford CT","Meriden, CT",22,0.0153 
"09003","4303.01","06479","Hartford CT","Plantsville, CT",126,0.0877 
"09003","4303.01","06489","Hartford CT","Southington, CT",1289,0.897 
"09003","4303.02","06479","Hartford CT","Plantsville, CT",540,0.4809 
"09003","4303.02","06489","Hartford CT","Southington, CT",583,0.5191 
"09003","4304.00","06444","Hartford CT","Marion, CT (PO boxes)",246,0.1098 
"09003","4304.00","06467","Hartford CT","Milldale, CT (PO boxes)",151,0.0674 
"09003","4304.00","06479","Hartford CT","Plantsville, CT",1843,0.8228 
"09003","4305.01","06479","Hartford CT","Plantsville, CT",472,0.6993 
"09003","4305.01","06489","Hartford CT","Southington, CT",203,0.3007 
"09003","4305.02","06479","Hartford CT","Plantsville, CT",1045,0.5612 
"09003","4305.02","06489","Hartford CT","Southington, CT",817,0.4388 
"09003","4306.02","06489","Hartford CT","Southington, CT",1425,1 
"09003","4306.03","06489","Hartford CT","Southington, CT",1065,1 
"09003","4306.04","06010","Hartford CT","Bristol, CT",3,0.0023 
"09003","4306.04","06489","Hartford CT","Southington, CT",1303,0.9977 
"09003","4601.00","06032","Hartford CT","Farmington, CT",1417,0.9719 
