"state","place","county","cousub20","stab","CountyName","MCDName","PlaceName","hus20","afact"
"State code","Place code","County code","County subdivision (2020)","State abbr.","County name","County subdivision / MCD name","Place name","Total housing units (2020 Census)","place-to-cousub20 allocation factor"
"09","99999","09011","43230","CT","New London CT","Lisbon town, New London CT","[not in a place]",1728,0.003 
"09","99999","09011","44210","CT","New London CT","Lyme town, New London CT","[not in a place]",1220,0.0021 
"09","99999","09011","48900","CT","New London CT","Montville town, New London CT","[not in a place]",5853,0.0103 
"09","99999","09011","55500","CT","New London CT","North Stonington town, New London CT","[not in a place]",2226,0.0039 
"09","99999","09011","57040","CT","New London CT","Old Lyme town, New London CT","[not in a place]",4988,0.0088 
"09","99999","09011","62150","CT","New London CT","Preston town, New London CT","[not in a place]",2049,0.0036 
"09","99999","09011","66210","CT","New London CT","Salem town, New London CT","[not in a place]",1719,0.003 
"09","99999","09011","71670","CT","New London CT","Sprague town, New London CT","[not in a place]",726,0.0013 
"09","99999","09011","73770","CT","New London CT","Stonington town, New London CT","[not in a place]",4290,0.0075 
"09","99999","09011","78600","CT","New London CT","Voluntown town, New London CT","[not in a place]",1135,0.002 
"09","99999","09011","80280","CT","New London CT","Waterford town, New London CT","[not in a place]",7352,0.0129 
"09","99999","09013","01080","CT","Tolland CT","Andover town, Tolland CT","[not in a place]",1324,0.0023 
"09","99999","09013","06260","CT","Tolland CT","Bolton town, Tolland CT","[not in a place]",2045,0.0036 
"09","99999","09013","16400","CT","Tolland CT","Columbia town, Tolland CT","[not in a place]",2294,0.004 
"09","99999","09013","17800","CT","Tolland CT","Coventry town, Tolland CT","[not in a place]",3084,0.0054 
"09","99999","09013","25360","CT","Tolland CT","Ellington town, Tolland CT","[not in a place]",6167,0.0108 
"09","99999","09013","37910","CT","Tolland CT","Hebron town, Tolland CT","[not in a place]",3618,0.0064 
"09","99999","09013","44910","CT","Tolland CT","Mansfield town, Tolland CT","[not in a place]",4001,0.007 
"09","99999","09013","69220","CT","Tolland CT","Somers town, Tolland CT","[not in a place]",2741,0.0048 
"09","99999","09013","72090","CT","Tolland CT","Stafford town, Tolland CT","[not in a place]",2873,0.0051 
"09","99999","09013","76290","CT","Tolland CT","Tolland town, Tolland CT","[not in a place]",5630,0.0099 
"09","99999","09013","77830","CT","Tolland CT","Union town, Tolland CT","[not in a place]",377,0.0007 
"09","99999","09013","78250","CT","Tolland CT","Vernon town, Tolland CT","[not in a place]",10790,0.019 
"09","99999","09013","85950","CT","Tolland CT","Willington town, Tolland CT","[not in a place]",2685,0.0047 
"09","99999","09015","01430","CT","Windham CT","Ashford town, Windham CT","[not in a place]",1732,0.003 
"09","99999","09015","09190","CT","Windham CT","Brooklyn town, Windham CT","[not in a place]",1959,0.0034 
"09","99999","09015","12130","CT","Windham CT","Canterbury town, Windham CT","[not in a place]",2044,0.0036 
"09","99999","09015","13810","CT","Windham CT","Chaplin town, Windham CT","[not in a place]",955,0.0017 
"09","99999","09015","21860","CT","Windham CT","Eastford town, Windham CT","[not in a place]",806,0.0014 
"09","99999","09015","36000","CT","Windham CT","Hampton town, Windham CT","[not in a place]",790,0.0014 
"09","99999","09015","40500","CT","Windham CT","Killingly town, Windham CT","[not in a place]",5625,0.0099 
"09","99999","09015","59980","CT","Windham CT","Plainfield town, Windham CT","[not in a place]",3324,0.0058 
"09","99999","09015","61030","CT","Windham CT","Pomfret town, Windham CT","[not in a place]",1686,0.003 
"09","99999","09015","62710","CT","Windham CT","Putnam town, Windham CT","[not in a place]",868,0.0015 
"09","99999","09015","67400","CT","Windham CT","Scotland town, Windham CT","[not in a place]",650,0.0011 
"09","99999","09015","73420","CT","Windham CT","Sterling town, Windham CT","[not in a place]",1479,0.0026 
"09","99999","09015","75870","CT","Windham CT","Thompson town, Windham CT","[not in a place]",2648,0.0047 
"09","99999","09015","86790","CT","Windham CT","Windham town, Windham CT","[not in a place]",2128,0.0037 
"09","99999","09015","88190","CT","Windham CT","Woodstock town, Windham CT","[not in a place]",2484,0.0044 
